interstate,start_measure_m,end_measure_m,gap_length_m,gap_length_mi,is_food_desert,segment_type
I-10,308.5105476492525,311.0957797354823,2.585232086229837,0.001606388743630844,False,Served Segment
I-10,311.0957797354823,314.460638742566,3.3648590070836804,0.0020908264529421183,False,Served Segment
I-10,314.460638742566,315.73834501297284,1.2777062704068385,0.0007939298685718146,False,Served Segment
I-10,315.73834501297284,316.4908731728213,0.7525281598484526,0.0004675993198772,False,Served Segment
I-10,316.4908731728213,316.83932862700493,0.348455454183636,0.0002165201810076876,False,Served Segment
I-10,316.83932862700493,326.48822754426845,9.648898917263523,0.0059955478239975555,False,Served Segment
I-10,326.48822754426845,327.2443850195572,0.7561574752887736,0.0004698544719393577,False,Served Segment
I-10,327.2443850195572,330.4148855846083,3.1705005650511,0.0019700577160949428,False,Served Segment
I-10,330.4148855846083,336.1615829856653,5.746697401056963,0.0035708322155219535,False,Served Segment
I-10,336.1615829856653,337.19301457677875,1.03143159111346,0.0006409018774814209,False,Served Segment
I-10,337.19301457677875,337.8044614457762,0.6114468689974615,0.0003799354699787376,False,Served Segment
I-10,337.8044614457762,338.70029771503624,0.8958362692600303,0.0005566468506795504,False,Served Segment
I-10,338.70029771503624,339.1916164931233,0.49131877808707713,0.00030529133490855723,False,Served Segment
I-10,339.1916164931233,344.4781167770553,5.286500283931957,0.003284878984189805,False,Served Segment
I-10,344.4781167770553,349.4501032897916,4.9719865127363505,0.0030894491872069307,False,Served Segment
I-10,349.4501032897916,351.5608529630735,2.110749673281873,0.0013115590410017206,False,Served Segment
I-10,351.5608529630735,354.1910140831299,2.630161120056414,0.0016343063509457354,False,Served Segment
I-10,354.1910140831299,356.99695477306864,2.8059406899387227,0.0017435307118544715,False,Served Segment
I-10,356.99695477306864,361.8074157884066,4.810461015337978,0.0029890818963117754,False,Served Segment
I-10,361.8074157884066,366.2133655610833,4.405949772676706,0.0027377302631859356,False,Served Segment
I-10,366.2133655610833,370.4967510617993,4.283385500715951,0.0026615723553919802,False,Served Segment
I-10,370.4967510617993,370.85779545792377,0.36104439612449823,0.00022434258687048774,False,Served Segment
I-10,370.85779545792377,370.9156843399494,0.05788888202562248,3.5970483641547414e-05,False,Served Segment
I-10,370.9156843399494,373.00751352424436,2.0918291842949657,0.0012998023942022126,False,Served Segment
I-10,373.00751352424436,376.27638556854674,3.268872044302384,0.0020311829194394637,False,Served Segment
I-10,376.27638556854674,376.60367428606503,0.3272887175182859,0.00020336778061016533,False,Served Segment
I-10,376.60367428606503,377.17287722081124,0.5692029347462153,0.0003536863061882452,False,Served Segment
I-10,377.17287722081124,377.17901606854736,0.00613884773611062,3.8145031367505144e-06,False,Served Segment
I-10,377.17901606854736,380.33137886207135,3.1523627935239915,0.001958787427376615,False,Served Segment
I-10,380.33137886207135,382.6592941847585,2.327915322687147,0.0014464995194856706,False,Served Segment
I-10,382.6592941847585,383.54932040708974,0.8900262223312438,0.0005530366548924554,False,Served Segment
I-10,383.54932040708974,383.7631175332134,0.21379712612366575,0.00013284737515637784,False,Served Segment
I-10,383.7631175332134,383.8822381810687,0.11912064785531129,7.401813897793839e-05,False,Served Segment
I-10,383.8822381810687,383.9249434196374,0.04270523856865793,2.6535805004186756e-05,False,Served Segment
I-10,383.9249434196374,387.3805254128562,3.4555819932188,0.002147199103000229,False,Served Segment
I-10,387.3805254128562,387.5094649578443,0.1289395449880999,8.011931879579499e-05,False,Served Segment
I-10,387.5094649578443,388.6300819979748,1.1206170401305258,0.000696319146267377,False,Served Segment
I-10,388.6300819979748,389.2391477775307,0.6090657795559196,0.000378455929593623,False,Served Segment
I-10,389.2391477775307,389.6488796832344,0.4097319057036657,0.00025459560274476164,False,Served Segment
I-10,389.6488796832344,391.6653682126553,2.01648852942094,0.0012529878816591976,False,Served Segment
I-10,391.6653682126553,400.38786169838914,8.722493485733821,0.005419906176512803,False,Served Segment
I-10,400.38786169838914,405.12229812946543,4.73443643107629,0.0029418424097497425,False,Served Segment
I-10,405.12229812946543,406.93780929792416,1.8155111684587268,0.0011281063392653942,False,Served Segment
I-10,406.93780929792416,410.5448511481148,3.607041850190626,0.002241311894902908,False,Served Segment
I-10,410.5448511481148,413.8973852431645,3.352534095049691,0.002083168107657338,False,Served Segment
I-10,413.8973852431645,415.81457845065995,1.9171932074954725,0.00119128862909078,False,Served Segment
